estado,sigla
acre,ac
alagoas,al
amapa,ap
amazonas,am
bahia,ba
ceara,ce
distrito federal,df
distritofederal,df
espirito santo,es
espiritosanto,es
goias,go
maranhao,ma
mato grosso,mt
matogrosso,mt
mato grosso do sul,ms
matogrossodosul,ms
minas gerais,mg
minasgerais,mg
para,pa
paraiba,pb
parana,pr
pernambuco,pe
piaui,pi
rio de janeiro,rj
riodejaneiro,rj
rio grande do norte,rn
riograndedonorte,rn
rio grande do sul,rs
riograndedosul,rs
rondonia,ro
roraima,rr
santa catarina,sc
santacatarina,sc
sao paulo,sp
saopaulo,sp
sergipe,se
tocantins,to
brasil,br
brazil,br
